,coin,cluster_v,cluster_p,trade_min_p,trade_max_p,cluster_v_usdt,cluster_v_buyer_usdt
0,DOCKUSDT,34992.0,0.03485,0.0348,0.03485,1219.4712,0.0
0,ARDRUSDT,209.0,0.09525,0.0951,0.0952,19.90725,0.0
0,IOTXUSDT,3623.0,0.05802,0.05793,0.05799,210.20646000000002,0.0
0,LRCUSDT,14509.0,0.27565,0.2752,0.2758,3999.40585,539.99835
0,KAVAUSDT,524.3,0.7935000000000001,0.792,0.793,416.03205,0.0
0,LTOUSDT,38193.0,0.10175000000000001,0.1014,0.1025,3886.1377500000003,1703.80375
0,IQUSDT,30949.0,0.007885,0.007874,0.007888,244.032865,0.0
0,FUNUSDT,31734.0,0.0056645,0.005656,0.005671,179.75724300000002,30.1634625
0,DATAUSDT,44336.0,0.072995,0.07274,0.07305,3236.30632,3163.252924
0,DGBUSDT,627949.6,0.011175000000000001,0.01116,0.01119,7017.3367800000005,467.340735
0,RLCUSDT,454.1,3.7560000000000002,3.75,3.755,1705.5996000000002,0.0
0,CHZUSDT,3305.0,0.12785000000000002,0.12767,0.1278,422.5442500000001,20.072450000000003
0,CTSIUSDT,4660.0,0.3556,0.3547,0.3556,1657.0960000000002,197.00240000000002
0,HBARUSDT,71258.0,0.10805000000000001,0.1079,0.1081,7699.4269,6726.7608
0,WRXUSDT,125.69999999999999,0.24585,0.2455,0.2458,30.903344999999998,154.93466999999998
0,MDTUSDT,32596.8,0.07761,0.07749,0.07766,2529.8376479999997,1919.9472239999998
0,COMPUSDT,84.745,69.464,69.36,69.58,5886.72668,4105.183472000001
0,COTIUSDT,107897.0,0.2132,0.2127,0.21371,23003.6404,13700.6584
0,SCUSDT,9496947.0,0.009885,0.009855,0.009905,93877.32109499999,46042.224494999995
0,VITEUSDT,63696.1,0.024425000000000002,0.02439,0.02444,1555.7772425,1533.7923
0,ONGUSDT,3525.0,0.34240000000000004,0.3419,0.3428,1206.96,89.70880000000001
0,MTLUSDT,985.8,1.6105,1.608,1.61,1587.6308999999999,1587.6308999999999
0,TFUELUSDT,7259.0,0.049915,0.04984,0.0499,362.332985,83.507795
0,OMGUSDT,39.7,0.7595000000000001,0.758,0.759,30.152150000000006,0.0
0,KEYUSDT,43932.0,0.0071295,0.007119,0.007143,313.21319400000004,0.0
0,FTMUSDT,93938.0,0.41469999999999996,0.4141,0.415,38956.088599999995,7057.779299999999
0,CELRUSDT,39718.1,0.02525,0.02521,0.02529,1002.882025,113.97850000000001
0,THETAUSDT,9.0,1.2919999999999998,1.29,1.292,11.627999999999998,1218.3559999999998
0,EOSUSDT,11432.1,0.7955000000000001,0.794,0.795,9094.235550000001,0.0
0,ANKRUSDT,667778.1,0.03255,0.03247,0.03263,21736.177155,23584.395450000004
0,XLMUSDT,4656.0,0.11585000000000001,0.1157,0.1159,539.3976,1029.2114000000001
0,ONEUSDT,552128.9,0.022355,0.0223,0.02242,12342.8415595,8617.1617305
0,ZECUSDT,2.512,27.689,27.62,27.68,69.554768,69.554768
0,FETUSDT,13799.0,1.1035,1.102,1.1069,15227.196499999998,5813.237999999999
